Timestamp,Source,Headline
"06/10/2021, 11:21:28",Financial Times,Global banking regulator urges toughest capital rules for crypto
"06/10/2021, 11:21:28",Financial Times,A king’s vaccine: Thailand’s struggle to deliver jabs to its people
"06/10/2021, 11:21:28",Financial Times,Coronavirus latest: UK health secretary Matt Hancock calls for rethink on global border policies
"06/10/2021, 11:21:28",Financial Times,Biden-Johnson talks undermined by ‘deep concerns’ over Northern Ireland
"06/10/2021, 11:21:28",Financial Times,Altice bets on UK fibre with £2bn BT stake
"06/10/2021, 11:21:28",Financial Times,James Biden abandons UK energy venture after White House review
"06/10/2021, 11:21:28",Financial Times,Down and out in Chinese tech
"06/10/2021, 11:21:28",Financial Times,Lurching towards a new era in freedom of movement
"06/10/2021, 11:21:28",Financial Times,Amazon’s landlord doubles down on vast ecommerce warehouses
"06/10/2021, 11:21:28",Financial Times,Live Q&A: What does the G7 tax deal mean for multinational companies?
"06/10/2021, 11:21:28",Financial Times,Departure of Deutsche executives linked to alleged mis-selling probe 
"06/10/2021, 11:21:28",Financial Times,Johnson examines partial lifting of England lockdown restrictions
"06/10/2021, 11:21:28",Financial Times,BioNTech prepares expansion into Africa alongside EU  
"06/10/2021, 11:21:28",Financial Times,Oatly takes Cambridgeshire family farm to court in trademark dispute
"06/10/2021, 11:21:28",Financial Times,US consumer prices expected to have accelerated their climb in May
"06/10/2021, 11:21:28",Financial Times,Schools in England struggle to contain rising Covid variant
"06/10/2021, 11:21:28",Financial Times,US to donate 500m doses of Pfizer’s Covid vaccine
"06/10/2021, 11:21:28",Financial Times,White-collar workers increasingly demand flexibility on conditions
"06/10/2021, 11:21:28",Financial Times,Drug traffickers change tactics to avoid Covid-19 travel curbs
"06/10/2021, 11:21:28",Financial Times,Competition regulator probes Ryanair and BA over refund refusals
"06/10/2021, 11:21:28",Financial Times,Coronavirus tracker: the latest figures as countries fight the Covid-19 resurgence
"06/10/2021, 11:21:28",Financial Times,Women take half of new UK board seats
"06/10/2021, 11:21:28",Financial Times,"Sexual harassment the norm for most pupils in England, official report finds"
"06/10/2021, 11:21:28",Financial Times,‘Unlawful’ barracks raise fresh fears over UK’s treatment of migrants 
"06/10/2021, 11:21:28",Financial Times,Record profits for CMC Markets after online trading surges
"06/10/2021, 11:21:28",Financial Times,Biden to press Johnson to end bitter Northern Ireland stand-off
"06/10/2021, 11:21:28",Financial Times,China’s producer prices rise at fastest pace in 13 years
"06/10/2021, 11:21:28",Financial Times,Covid outbreak in China sparks fears of trade disruption 
"06/10/2021, 11:21:28",Financial Times,Biden rallies allies to take tougher stance on China
"06/10/2021, 11:21:28",Financial Times,US financial regulator warns against strict cryptocurrency rules
"06/10/2021, 11:21:28",Financial Times,The future of American democracy
"06/10/2021, 11:21:28",Financial Times,Unnecessary aid cut is the price of rebuilding Tory financial discipline
"06/10/2021, 11:21:28",Financial Times,Covid lab-leak theory shows the ‘fact wars’ are still raging
